year,volume,issue,article_id,content,section,title,authors_list,author,author_sequence,symbol
1975,187,4171,/content/187/4171/59,,Reports,Atmospheric Trace Metals at Remote Northern and Southern Hemisphere Sites: Pollution or Natural?,"By Robert A. Duce, Gerald L. Hoffman, William H. Zoller",Gerald L. Hoffman,2,1
1975,187,4171,/content/187/4171/59,,Reports,Atmospheric Trace Metals at Remote Northern and Southern Hemisphere Sites: Pollution or Natural?,"By Robert A. Duce, Gerald L. Hoffman, William H. Zoller",William H. Zoller,3,2
1975,187,4171,/content/187/4171/61,,Reports,Petroleum Pollutants in Surface and Groundwater as Indicated by the Carbon-14 Activity of Dissolved Organic Carbon,"By E. C. Spiker, Meyer Rubin",E. C. Spiker,1,1
1975,187,4171,/content/187/4171/61,,Reports,Petroleum Pollutants in Surface and Groundwater as Indicated by the Carbon-14 Activity of Dissolved Organic Carbon,"By E. C. Spiker, Meyer Rubin",Meyer Rubin,2,1
1975,187,4171,/content/187/4171/64,,Reports,Microwave Emission Spectrum of the Moon: Mean Global Heat Flow and Average Depth of the Regolith,"By Stephen J. Keihm, Marcus G. Langseth",Stephen J. Keihm,1,1
1975,187,4171,/content/187/4171/64,,Reports,Microwave Emission Spectrum of the Moon: Mean Global Heat Flow and Average Depth of the Regolith,"By Stephen J. Keihm, Marcus G. Langseth",Marcus G. Langseth,2,1
1975,187,4171,/content/187/4171/66,,Reports,The Postspinel Phases in the Mg2SiO4-Fe2SiO4 System,"By Li-Chung Ming, William A. Bassett",Li-Chung Ming,1,1
1975,187,4171,/content/187/4171/66,,Reports,The Postspinel Phases in the Mg2SiO4-Fe2SiO4 System,"By Li-Chung Ming, William A. Bassett",William A. Bassett,2,1
1975,187,4171,/content/187/4171/68,,Reports,Deficient Ganglioside Biosynthesis: a novel human sphingolipidosis,"By PH Fishman, Max SR, JF Tallman, RO Brady, NK Maclaren, M Cornblath",PH Fishman,1,
1975,187,4171,/content/187/4171/68,,Reports,Deficient Ganglioside Biosynthesis: a novel human sphingolipidosis,"By PH Fishman, Max SR, JF Tallman, RO Brady, NK Maclaren, M Cornblath",Max SR,2,
1975,187,4171,/content/187/4171/68,,Reports,Deficient Ganglioside Biosynthesis: a novel human sphingolipidosis,"By PH Fishman, Max SR, JF Tallman, RO Brady, NK Maclaren, M Cornblath",JF Tallman,3,
1975,187,4171,/content/187/4171/68,,Reports,Deficient Ganglioside Biosynthesis: a novel human sphingolipidosis,"By PH Fishman, Max SR, JF Tallman, RO Brady, NK Maclaren, M Cornblath",RO Brady,4,
1975,187,4171,/content/187/4171/68,,Reports,Deficient Ganglioside Biosynthesis: a novel human sphingolipidosis,"By PH Fishman, Max SR, JF Tallman, RO Brady, NK Maclaren, M Cornblath",NK Maclaren,5,
1975,187,4171,/content/187/4171/68,,Reports,Deficient Ganglioside Biosynthesis: a novel human sphingolipidosis,"By PH Fishman, Max SR, JF Tallman, RO Brady, NK Maclaren, M Cornblath",M Cornblath,6,
1975,187,4171,/content/187/4171/70,,Reports,Polarizing fucoid eggs drive a calcium current through themselves,"By KR Robinson, LF Jaffe",KR Robinson,1,
1975,187,4171,/content/187/4171/70,,Reports,Polarizing fucoid eggs drive a calcium current through themselves,"By KR Robinson, LF Jaffe",LF Jaffe,2,
1975,187,4171,/content/187/4171/72,,Reports,Spontaneous regression of friend virus induced leukemia: coinfection with regressing and conventional strains of virus,"By P Furmanski, J Baldwin, R Clymer, MA Rich",P Furmanski,1,
1975,187,4171,/content/187/4171/72,,Reports,Spontaneous regression of friend virus induced leukemia: coinfection with regressing and conventional strains of virus,"By P Furmanski, J Baldwin, R Clymer, MA Rich",J Baldwin,2,
1975,187,4171,/content/187/4171/72,,Reports,Spontaneous regression of friend virus induced leukemia: coinfection with regressing and conventional strains of virus,"By P Furmanski, J Baldwin, R Clymer, MA Rich",R Clymer,3,
1975,187,4171,/content/187/4171/72,,Reports,Spontaneous regression of friend virus induced leukemia: coinfection with regressing and conventional strains of virus,"By P Furmanski, J Baldwin, R Clymer, MA Rich",MA Rich,4,
1975,187,4171,/content/187/4171/74,,Reports,Specific Elicitors of Plant Phytoalexin Production: Detenninants of Race Specificity in Pathogens?,By N. T. Keen,N. T. Keen,1,1
1975,187,4171,/content/187/4171/75,,Reports,Halogenated hydrocarbons in New Orleans drinking water and blood plasma,"By B Dowty, D Carlisle, JL Laseter, J Storer",B Dowty,1,
1975,187,4171,/content/187/4171/75,,Reports,Halogenated hydrocarbons in New Orleans drinking water and blood plasma,"By B Dowty, D Carlisle, JL Laseter, J Storer",D Carlisle,2,
1975,187,4171,/content/187/4171/75,,Reports,Halogenated hydrocarbons in New Orleans drinking water and blood plasma,"By B Dowty, D Carlisle, JL Laseter, J Storer",JL Laseter,3,
1975,187,4171,/content/187/4171/75,,Reports,Halogenated hydrocarbons in New Orleans drinking water and blood plasma,"By B Dowty, D Carlisle, JL Laseter, J Storer",J Storer,4,
1975,187,4171,/content/187/4171/77,,Reports,Retrograde amnesia: temporal gradient in very long term memory following electroconvulsive therapy,"By LR Squire, PC Slater, PM Chace",LR Squire,1,
1975,187,4171,/content/187/4171/77,,Reports,Retrograde amnesia: temporal gradient in very long term memory following electroconvulsive therapy,"By LR Squire, PC Slater, PM Chace",PC Slater,2,
1975,187,4171,/content/187/4171/77,,Reports,Retrograde amnesia: temporal gradient in very long term memory following electroconvulsive therapy,"By LR Squire, PC Slater, PM Chace",PM Chace,3,
1975,187,4171,/content/187/4171/79,,Technical Comments,Appraising Proposed Federal Standards for Water Resources Investment,"By David C. Major, Charles Cicchetti, Robert Davis, Steve Hanke, Robert Haveman","David C. Major, Charles Cicchetti, Robert Davis, Steve Hanke, Robert Haveman",,
1975,187,4171,/content/187/4171/81,,Technical Comments,Morpholine as olfactory stimulus in fish,"By TJ Hara, S Macdonald","TJ Hara, S Macdonald",,
1975,187,4171,/content/187/4171/89,,Products & Materials,PRODUCTS and MATERIALS,,,,
1975,187,4172,/content/187/4172/113.1,,Letters,Nerve Growth Factor,By Rita Levi-Montalcini,Rita Levi-Montalcini,,
1975,187,4172,/content/187/4172/113.2,,Letters,Man's Best Friend,By M. Ian Phillips,M. Ian Phillips,,
1975,187,4172,/content/187/4172/114.1,,Letters,Lottery Admissions System in the Netherlands,"By Frits L. Meijler, Johan Vreeken","Frits L. Meijler, Johan Vreeken",,
1975,187,4172,/content/187/4172/114.2,,Letters,Computer Use,By Charles Mosmann,Charles Mosmann,,
1975,187,4172,/content/187/4172/116,,Letters,Letters to the Editor,By Arthur W. Luehrmann,Arthur W. Luehrmann,,
1975,187,4172,/content/187/4172/119,,Editorial,Science Advice for the Executive Branch,By Philip H. Abelson,Philip H. Abelson,,
1975,187,4172,/content/187/4172/121,,Articles,Electron Microscopy of Irradiation Effects in Space,"By M. Maurette, P. B. Price","M. Maurette, P. B. Price",,
1975,187,4172,/content/187/4172/130,,Articles,On the specificity of antibodies,"By FF Richards, WH Konigsberg, RW Rosenstein, JM Varga","FF Richards, WH Konigsberg, RW Rosenstein, JM Varga",,
1975,187,4172,/content/187/4172/137,,Articles,Prehistoric Agriculture in Tropical Highlands,"By Olga F. Linares, Payson D. Sheets, E. Jane Rosenthal","Olga F. Linares, Payson D. Sheets, E. Jane Rosenthal",,
1975,187,4172,/content/187/4172/145,,News & Comment,National Institutes of Health: The Politics of Taste and Smell,By Barbara J. Culliton,Barbara J. Culliton,,
1975,187,4172,/content/187/4172/146.1,,News & CommentBriefing,NIH: Help Wanted,By B. J. C.,B. J. C.,,
1975,187,4172,/content/187/4172/146.2,,News & CommentBriefing,Fusion Advocates Tell Off Teller,By W. D. M.,W. D. M.,,
1975,187,4172,/content/187/4172/147.1,,News & CommentBriefing,House Committees Endorse Controlled Energy Growth,By R. G.,R. G.,,
1975,187,4172,/content/187/4172/147.2,,News & CommentBriefing,RFF Gets a Big Financial Boost,By C. H.,C. H.,,
1975,187,4172,/content/187/4172/149,,News & Comment,Impact of Protocol Passage Diluted by Senate Compromise,By Deborah Shapley,Deborah Shapley,,
1975,187,4172,/content/187/4172/150,,News & Comment,Robert W. Long: The Banker Who Heads Agricultural Research,By Nicholas Wade,Nicholas Wade,,
1975,187,4172,/content/187/4172/151,,News & Comment,FPC's Gloomy Outlook on Gas,By R. G.,R. G.,,
1975,187,4172,/content/187/4172/152,,News & Comment,"Health Planning: New Program Gives Consumers, Uncle Sam a Voice",By Deborah Shapley,Deborah Shapley,,
1975,187,4172,/content/187/4172/153,,News & Comment,RECENT DEATHS,,,,
1975,187,4172,/content/187/4172/154,,Research News,Hemoglobin: Model Systems Shed Light on Oxygen Binding,By Thomas H. Maugh II,Thomas H. Maugh II,,
1975,187,4172,/content/187/4172/156,,Research News,Sociobiology (II): The Evolution of Social Systems,By Gina Bari Kolata,Gina Bari Kolata,,
1975,187,4172,/content/187/4172/158,,Association AffairsAnnual Meeting,The Quality of Science,By Arthur Herschman,Arthur Herschman,,
1975,187,4172,/content/187/4172/161,,Book Reviews,Book Reviews,,,,
1975,187,4172,/content/187/4172/164,,Book Reviews,Books Received,,,,
1975,187,4172,/content/187/4172/165,,Reports,Heat Flow and Convection Experiments aboard Apollo 17,"By Philomena G. Grodzka, Tommy C. Bannister",Philomena G. Grodzka,1,1
1975,187,4172,/content/187/4172/165,,Reports,Heat Flow and Convection Experiments aboard Apollo 17,"By Philomena G. Grodzka, Tommy C. Bannister",Tommy C. Bannister,2,2
1975,187,4172,/content/187/4172/167,,Reports,Troponin and parvalbumin calcium binding regions predicted in myosin light chain and T4 lysozyme,"By RM Tufty, RH Kretsinger",RM Tufty,1,
1975,187,4172,/content/187/4172/167,,Reports,Troponin and parvalbumin calcium binding regions predicted in myosin light chain and T4 lysozyme,"By RM Tufty, RH Kretsinger",RH Kretsinger,2,
1975,187,4172,/content/187/4172/169,,Reports,Daily rhythm in human urinary melatonin,"By HJ Lynch, RJ Wurtman, MA Moskowitz, MC Archer, MH Ho",HJ Lynch,1,
1975,187,4172,/content/187/4172/169,,Reports,Daily rhythm in human urinary melatonin,"By HJ Lynch, RJ Wurtman, MA Moskowitz, MC Archer, MH Ho",RJ Wurtman,2,
1975,187,4172,/content/187/4172/169,,Reports,Daily rhythm in human urinary melatonin,"By HJ Lynch, RJ Wurtman, MA Moskowitz, MC Archer, MH Ho",MA Moskowitz,3,
1975,187,4172,/content/187/4172/169,,Reports,Daily rhythm in human urinary melatonin,"By HJ Lynch, RJ Wurtman, MA Moskowitz, MC Archer, MH Ho",MC Archer,4,
1975,187,4172,/content/187/4172/169,,Reports,Daily rhythm in human urinary melatonin,"By HJ Lynch, RJ Wurtman, MA Moskowitz, MC Archer, MH Ho",MH Ho,5,
1975,187,4172,/content/187/4172/171,,Reports,5-methyltetrahydrofolic acid is not a methyl donor for biogenic amines: enzymatic formation of formaldehyde,"By E Meller, H Rosengarten, AJ Friedhoff, RD Stebbins, R Silber",E Meller,1,
1975,187,4172,/content/187/4172/171,,Reports,5-methyltetrahydrofolic acid is not a methyl donor for biogenic amines: enzymatic formation of formaldehyde,"By E Meller, H Rosengarten, AJ Friedhoff, RD Stebbins, R Silber",H Rosengarten,2,
1975,187,4172,/content/187/4172/171,,Reports,5-methyltetrahydrofolic acid is not a methyl donor for biogenic amines: enzymatic formation of formaldehyde,"By E Meller, H Rosengarten, AJ Friedhoff, RD Stebbins, R Silber",AJ Friedhoff,3,
1975,187,4172,/content/187/4172/171,,Reports,5-methyltetrahydrofolic acid is not a methyl donor for biogenic amines: enzymatic formation of formaldehyde,"By E Meller, H Rosengarten, AJ Friedhoff, RD Stebbins, R Silber",RD Stebbins,4,
1975,187,4172,/content/187/4172/171,,Reports,5-methyltetrahydrofolic acid is not a methyl donor for biogenic amines: enzymatic formation of formaldehyde,"By E Meller, H Rosengarten, AJ Friedhoff, RD Stebbins, R Silber",R Silber,5,
1975,187,4172,/content/187/4172/173,,Reports,Chromatin fragments resembling v bodies,"By MB Senior, AL Olins, DE Olins",MB Senior,1,
1975,187,4172,/content/187/4172/173,,Reports,Chromatin fragments resembling v bodies,"By MB Senior, AL Olins, DE Olins",AL Olins,2,
1975,187,4172,/content/187/4172/173,,Reports,Chromatin fragments resembling v bodies,"By MB Senior, AL Olins, DE Olins",DE Olins,3,
1975,187,4172,/content/187/4172/175,,Reports,Coevolutionary Race Continues: Butterfly Larval Adaptation to Plant Trichomes,"By Beverly J. Rathcke, Robert W. Poole",Beverly J. Rathcke,1,1
1975,187,4172,/content/187/4172/175,,Reports,Coevolutionary Race Continues: Butterfly Larval Adaptation to Plant Trichomes,"By Beverly J. Rathcke, Robert W. Poole",Robert W. Poole,2,1
1975,187,4172,/content/187/4172/177,,Reports,Vesicular binesis: glucose effect on insulin secretory vesicles,"By KH Gabbay, J Korff, EE Schneeberger",KH Gabbay,1,
