year,volume,issue,article_id,section,title,author_seq,affiliation
1975,258,5537,/articles/258688a0,Letter,Third speed-up of the Crab pulsar,1,"grid.9026.d, 0000 0001 2287 2617, Hamburger Sternwarte, D-205, Hamburg, 80, West Germany"
1975,258,5537,/articles/258689a0,Letter,High temperature condensates among meteors,1,"grid.134563.6, 0000 0001 2168 186X, Department of Planetary Sciences, and Lunar and Planetary Laboratory, University of Arizona, Tucson, Arizona, 85721"
1975,258,5537,/articles/258690a0,Letter,Detection of a potassium cloud near Io,1,"grid.89336.37, 0000 0004 1936 9924, McDonald Observatory and Astronomy Department, The University of Texas at Austin, Texas, 78712"
1975,258,5537,/articles/258692a0,Letter,Angular momentum transfer to the inner Jovian satellites,1,"grid.266100.3, 0000 0001 2107 4242, University of California, San Diego, La Jolla, California, 92037"
1975,258,5537,/articles/258692a0,Letter,Angular momentum transfer to the inner Jovian satellites,1,"grid.418143.b, 0000 0001 0943 0267, General Electric Research and Development Center, Schenectady, New York, 12301"
1975,258,5537,/articles/258693a0,Letter,Unusual series of type III-RS solar radio bursts,2,"grid.5801.c, 0000 0001 2156 2780, Radio Astronomy Group, Microwave Laboratory, Swiss Federal Institute of Technology, Gloriastrasse 35, CH-8006, Zurich, Switzerland"
1975,258,5537,/articles/258694a0,Letter,Optical detection of Fe3+ in lunar plagioclase,2,"grid.5379.8, 0000000121662407, Department of Pure and Applied Physics, UMIST, Manchester, UK"
1975,258,5537,/articles/258696a0,Letter,Stratospheric measurements of H2O and the diurnal change of NO and NO2,5,"grid.4991.5, 0000 0004 1936 8948, Department of Atmospheric Physics, Clarendon Laboratory, Oxford, OX1 3PU, UK"
1975,258,5537,/articles/258697a0,Letter,Possible climatic impact of tropical deforestation,4,"Atmospheric Sciences Division, Lawrence Livermore Laboratory, Livermore, California, 94550"
1975,258,5537,/articles/258698a0,Letter,"Evidence for a Proterozoic greenstone belt from Snow Lake, Manitoba",3,"grid.34428.39, 0000 0004 1936 893X, Department of Geology, Carleton University, Ottawa, Canada"
1975,258,5537,/articles/258701a0,Letter,Evidence for pre-Jurassic subduction in western Antarctica,2,"grid.6572.6, 0000 0004 1936 7486, British Antarctic Survey, Department of Geological Sciences, University of Birmingham, PO Box 363, Birmingham, B15 2TT, UK"
1975,258,5537,/articles/258703a0,Letter,Ceramic steel?,3,"Division of TribophysicsCSIRO, Melbourne, 3001, Australia"
1975,258,5537,/articles/258704a0,Letter,Pulsating turbidity currents with relationship to high swell and high tides,3,"grid.266100.3, 0000 0001 2107 4242, Geological Research Division, Scripps Institution of Oceanography, University of California, San Diego, La Jolla, California, 92093"
1975,258,5537,/articles/258706a0,Letter,Hermatypic coral growth banding as environmental recorder,2,"grid.47100.32, 0000000419368710, Department of Geology and Geophysics, Yale University, New Haven, Connecticut, 06520"
1975,258,5537,/articles/258708a0,Letter,Intelligence tests may favour the majority groups in a population,1,"grid.266878.5, 0000 0001 2175 5443, Department of Psychology, University of Northern Iowa, Cedar Falls, Iowa, 50613"
1975,258,5537,/articles/258709a0,Letter,Radiocarbon date for the largest extinct bird,4,"grid.19006.3e, 0000 0000 9632 6718, Departments of Geography and Anthropology, Institute of Geophysics and Planetary Physics, University of California, Los Angeles, California, 90024"
1975,258,5537,/articles/258709b0,Letter,Scorpionflies as kleptoparasites of web-building spiders,1,"grid.266832.b, 0000 0001 2188 8502, Department of Biology, University of New Mexico, Albuquerque, New Mexico, 87131"
1975,258,5537,/articles/258711a0,Letter,Natural daylengths regulate insect seasonality by two mechanisms,2,"grid.5386.8, 000000041936877X, Department of Entomology, Cornell University Ithaca, New York, 14853"
1975,258,5537,/articles/258712a0,Letter,Effect of light on egg-laying rate and mating speed in phototactic strains of Drosophila,1,"grid.215654.1, 0000 0001 2151 2636, Department of Zoology, Arizona State University, Tempe, Arizona, 85281"
1975,258,5537,/articles/258714a0,Letter,Corpus allatum activity and wing determination in Megoura viciae,2,"grid.4464.2, 0000 0001 2161 2573, Biology Department, Queen Elizabeth College, Campden Hill, London, W8 7AH, UK"
1975,258,5537,/articles/258715a0,Letter,Manganese and photosynthetic oxygen evolution by algae,2,"grid.8241.f, 0000 0004 0397 2876, Department of Biological Sciences, University of Dundee, Dundee, DD1 4HN, UK"
1975,258,5537,/articles/258716a0,Letter,Enzyme to break down lettuce endosperm cell wall during gibberellin-and light-induced germination,3,"grid.22072.35, 0000 0004 1936 7697, Department of Biology, University of Calgary, Calgary, Alberta, T2 1N4, Canada"
1975,258,5537,/articles/258718a0,Letter,Reduced sperm motility in the isthmus of the rabbit oviduct,2,"grid.5386.8, 000000041936877X, Laboratory of Reproductive Biology, Department of Obstetrics and Gynecology, Cornell University Medical College, 1300 York Avenue, New York, New York, 10021"
1975,258,5537,/articles/258719a0,Letter,Nuclear transplantation in the rabbit egg,1,"grid.4991.5, 0000 0004 1936 8948, Department of Zoology, South Parks Road, Oxford, OX1 3PS, UK"
