year,volume,issue
2011,472,7343
2011,472,7342
2011,472,7341
2011,471,7340
2011,471,7339
2011,471,7338
2011,471,7337
2011,471,7336
2011,470,7335
2011,470,7334
2011,470,7333
2011,470,7332
2011,469,7331
2011,469,7330
2011,469,7329
2011,469,7328
2010,468,7327
2010,468,7326
2010,468,7325
2010,468,7324
2010,468,7323
2010,468,7322
2010,468,7321
2010,468,7320
2010,467,7319
2010,467,7318
2010,467,7317
2010,467,7316
2010,467,7315
2010,467,7314
2010,467,7313
2010,467,7312
2010,467,7311
2010,466,7310
2010,466,7309
2010,466,7308
2010,466,7307
2010,466,7306
2010,466,7305
2010,466,7304
2010,466,7303
2010,466,7302
2010,465,7301
2010,465,7300
2010,465,7299
2010,465,7298
2010,465,7297
2010,465,7296
2010,465,7295
2010,465,7294
2010,464,7293
2010,464,7292
2010,464,7291
2010,464,7290
2010,464,7289
2010,464,7288
2010,464,7287
2010,464,7286
2010,464,7285
2010,463,7284
2010,463,7283
2010,463,7282
2010,463,7281
2010,463,7280
2010,463,7279
2010,463,7278
2010,463,7277
2009,462,7276
2009,462,7275
2009,462,7274
2009,462,7273
2009,462,7272
2009,462,7271
2009,462,7270
2009,462,7269
2009,461,7268
2009,461,7267
2009,461,7266
2009,461,7265
2009,461,7264
2009,461,7263
2009,461,7262
2009,461,7261
2009,461,7260
2009,460,7259
2009,460,7258
2009,460,7257
2009,460,7256
2009,460,7255
2009,460,7254
2009,460,7253
2009,460,7252
2009,460,7251
2009,459,7250
2009,459,7249
2009,459,7248
2009,459,7247
2009,459,7246
2009,459,7245
2009,459,7244
2009,459,7243
2009,458,7242
2009,458,7241
2009,458,7240
2009,458,7239
2009,458,7238
2009,458,7237
2009,458,7236
2009,458,7235
2009,458,7234
2009,457,7233
2009,457,7232
2009,457,7231
2009,457,7230
2009,457,7229
2009,457,7228
2009,457,7227
2009,457,7226
2009,457,7225
2008,456,7224
2008,456,7223
2008,456,7222
2008,456,7221
2008,456,7220
2008,456,7219
2008,456,7218
2008,455,7217
2008,455,7216
2008,455,7215
2008,455,7214
2008,455,7213
2008,455,7212
2008,455,7211
2008,455,7210
2008,455,7209
2008,454,7208
2008,454,7207
2008,454,7206
2008,454,7205
2008,454,7204
2008,454,7203
2008,454,7202
2008,454,7201
2008,454,7200
2008,453,7199
2008,453,7198
2008,453,7197
2008,453,7196
2008,453,7195
2008,453,7194
2008,453,7193
2008,453,7192
2008,453,7191
2008,452,7190
2008,452,7189
2008,452,7188
2008,452,7187
2008,452,7186
2008,452,7185
2008,452,7184
2008,452,7183
2008,451,7182
2008,451,7181
2008,451,7180
2008,451,7179
2008,451,7178
2008,451,7177
2008,451,7176
2008,451,7175
2008,451,7174
2007,450,7173
2007,450,7172
2007,450,7171
2007,450,7170
2007,450,7169
2007,450,7168
2007,450,7167
2007,450,7166
2007,449,7165
2007,449,7164
2007,449,7163
2007,449,7162
2007,449,7161
2007,449,7160
2007,449,7159
2007,449,7158
2007,448,7157
2007,448,7156
2007,448,7155
2007,448,7154
2007,448,7153
2007,448,7152
2007,448,7151
2007,448,7150
2007,448,7149
2007,447,7148
2007,447,7147
2007,447,7146
2007,447,7145
2007,447,7144
2007,447,7143
2007,447,7142
2007,447,7141
2007,447,7140
2007,446,7139
2007,446,7138
2007,446,7137
2007,446,7136
2007,446,7135
2007,446,7134
2007,446,7133
2007,446,7132
2007,446,7131
2007,445,7130
2007,445,7129
2007,445,7128
2007,445,7127
2007,445,7126
2007,445,7125
2007,445,7124
2007,445,7123
2006,444,7122
2006,444,7121
2006,444,7120
2006,444,7119
2006,444,7118
2006,444,7117
2006,444,7116
2006,444,7115
2006,443,7114
2006,443,7113
2006,443,7112
2006,443,7111
2006,443,7110
2006,443,7109
2006,443,7108
2006,443,7107
2006,442,7106
2006,442,7105
2006,442,7104
2006,442,7103
2006,442,7102
2006,442,7101
2006,442,7100
2006,442,7099
2006,442,7098
2006,441,7097
2006,441,7096
2006,441,7095
2006,441,7094
2006,441,7093
2006,441,7092
2006,441,7091
2006,441,7090
2006,441,7089
2006,440,7088
2006,440,7087
2006,440,7086
2006,440,7085
2006,440,7084
2006,440,7083
2006,440,7082
2006,440,7081
2006,440,7080
2006,439,7079
2006,439,7078
2006,439,7077
2006,439,7076
2006,439,7075
2006,439,7074
2006,439,7073
2006,439,7072
2005,438,7071
2005,438,7070
2005,438,7069
2005,438,7068
2005,438,7067
2005,438,7066
2005,438,7065
2005,438,7064
2005,437,7063
2005,437,7062
2005,437,7061
2005,437,7060
2005,437,7059
2005,437,7058
2005,437,7057
2005,437,7056
2005,437,7055
2005,436,7054
2005,436,7053
2005,436,7052
2005,436,7051
2005,436,7050
2005,436,7049
2005,436,7048
2005,436,7047
2005,435,7046
2005,435,7045
2005,435,7044
2005,435,7043
2005,435,7042
2005,435,7041
2005,435,7040
2005,435,7039
2005,435,7038
2005,434,7037
2005,434,7036
2005,434,7035
2005,434,7034
2005,434,7033
2005,434,7032
2005,434,7031
2005,434,7030
2005,434,7029
2005,433,7028
2005,433,7027
2005,433,7026
2005,433,7025
2005,433,7024
2005,433,7023
2005,433,7022
2005,433,7021
2004,432,7020
2004,432,7019
2004,432,7018
2004,432,7017
2004,432,7016
2004,432,7015
2004,432,7014
2004,432,7013
2004,431,7012
2004,431,7011
2004,431,7010
2004,431,7009
2004,431,7008
2004,431,7007
2004,431,7006
2004,431,7005
2004,431,7004
2004,430,7003
2004,430,7002
2004,430,7001
2004,430,7000
2004,430,6999
2004,430,6998
2004,430,6997
2004,430,6996
2004,430,6995
2004,429,6994
2004,429,6993
2004,429,6992
2004,429,6991
2004,429,6990
2004,429,6989
2004,429,6988
2004,429,6987
2004,428,6986
2004,428,6985
2004,428,6984
2004,428,6983
2004,428,6982
2004,428,6981
2004,428,6980
2004,428,6979
2004,428,6978
2004,427,6977
2004,427,6976
2004,427,6975
2004,427,6974
2004,427,6973
2004,427,6972
2004,427,6971
2004,427,6970
2004,427,6969
2003,426,6968
2003,426,6967
2003,426,6966
2003,426,6965
2003,426,6964
2003,426,6963
2003,426,6962
2003,425,6961
2003,425,6960
2003,425,6959
2003,425,6958
2003,425,6957
2003,425,6956
2003,425,6955
2003,425,6954
2003,425,6953
2003,424,6952
2003,424,6951
2003,424,6950
2003,424,6949
2003,424,6948
2003,424,6947
2003,424,6946
2003,424,6945
2003,424,6944
2003,423,6943
2003,423,6942
2003,423,6941
2003,423,6940
2003,423,6939
2003,423,6938
2003,423,6937
2003,423,6936
2003,423,6935
2003,422,6934
2003,422,6933
2003,422,6932
2003,422,6931
2003,422,6930
2003,422,6929
2003,422,6928
2003,422,6927
2003,421,6926
2003,421,6925
2003,421,6924
2003,421,6923
2003,421,6922
2003,421,6921
2003,421,6920
2003,421,6919
2003,421,6918
2002,420,6917
2002,420,6916
2002,420,6915
2002,420,6914
2002,420,6913
2002,420,6912
2002,420,6911
2002,419,6910
2002,419,6909
2002,419,6908
2002,419,6907
2002,419,6906
2002,419,6905
2002,419,6904
2002,419,6903
2002,419,6902
2002,418,6901
2002,418,6900
2002,418,6899
2002,418,6898
2002,418,6897
2002,418,6896
2002,418,6895
2002,418,6894
2002,418,6893
2002,417,6892
2002,417,6891
2002,417,6890
2002,417,6889
2002,417,6888
2002,417,6887
2002,417,6886
2002,417,6885
2002,417,6884
2002,416,6883
2002,416,6882
2002,416,6881
2002,416,6880
2002,416,6879
2002,416,6878
2002,416,6877
2002,416,6876
2002,415,6875
2002,415,6874
2002,415,6873
2002,415,6872
2002,415,6871
2002,415,6870
2002,415,6869
2002,415,6868
2002,415,6867
2001,414,6866
2001,414,6865
2001,414,6864
2001,414,6863
2001,414,6862
2001,414,6861
2001,414,6860
2001,414,6859
2001,413,6858
2001,413,6857
2001,413,6856
2001,413,6855
2001,413,6854
2001,413,6853
2001,413,6852
2001,413,6851
2001,412,6850
2001,412,6849
2001,412,6848
2001,412,6847
2001,412,6846
2001,412,6845
2001,412,6844
2001,412,6843
2001,412,6842
2001,411,6841
2001,411,6840
2001,411,6839
2001,411,6838
2001,411,6837
2001,411,6836
2001,411,6835
2001,411,6834
2001,411,6833
2001,410,6832
2001,410,6831
2001,410,6830
2001,410,6829
2001,410,6828
2001,410,6827
2001,410,6826
2001,410,6825
2001,410,6824
2001,409,6823
2001,409,6822
2001,409,6821
2001,409,6820
2001,409,6819
2001,409,6818
2001,409,6817
2001,409,6816
2000,408,6815
2000,408,6814
2000,408,6813
2000,408,6812
2000,408,6811
2000,408,6810
2000,408,6809
2000,408,6808
2000,407,6807
2000,407,6806
2000,407,6805
2000,407,6804
2000,407,6803
2000,407,6802
2000,407,6801
2000,407,6800
2000,406,6799
2000,406,6798
2000,406,6797
2000,406,6796
2000,406,6795
2000,406,6794
2000,406,6793
2000,406,6792
2000,406,6791
2000,405,6790
2000,405,6789
2000,405,6788
2000,405,6787
2000,405,6786
2000,405,6785
2000,405,6784
2000,405,6783
2000,405,6782
2000,404,6781
2000,404,6780
2000,404,6779
2000,404,6778
2000,404,6777
2000,404,6776
2000,404,6775
2000,404,6774
2000,404,6773
2000,403,6772
2000,403,6771
2000,403,6770
2000,403,6769
2000,403,6768
2000,403,6767
2000,403,6766
2000,403,6765
1999,402,6764
1999,402,6763
1999,402,6762
1999,402,6761
1999,402,6760
1999,402,6759
1999,402,6758
1999,402,6757
1999,401,6756
1999,401,6755
1999,401,6754
1999,401,6753
1999,401,6752
1999,401,6751
1999,401,6750
1999,401,6749
1999,401,6748
1999,400,6747
1999,400,6746
1999,400,6745
1999,400,6744
1999,400,6743
1999,400,6742
1999,400,6741
1999,400,6740
1999,400,6739
1999,399,6738
1999,399,6737
1999,399,6736
1999,399,6735
1999,399,6734
1999,399,6733
1999,399,6732
1999,399,6731
1999,398,6730
1999,398,6729
1999,398,6728
1999,398,6727
1999,398,6726
1999,398,6725
1999,398,6724
1999,398,6723
1999,398,6722
1999,397,6721
1999,397,6720
1999,397,6719
1999,397,6718
1999,397,6717
1999,397,6716
1999,397,6715
1999,397,6714
1998,396,6713
1998,396,6712
1998,396,6711
1998,396,6710
1998,396,6709
1998,396,6708
1998,396,6707
1998,396,6706
1998,395,6705
1998,395,6704
1998,395,6703
1998,395,6702
1998,395,6701
1998,395,6700
1998,395,6699
1998,395,6698
1998,395,6697
1998,394,6696
1998,394,6695
1998,394,6694
1998,394,6693
1998,394,6692
1998,394,6691
1998,394,6690
1998,394,6689
1998,394,6688
1998,393,6687
1998,393,6686
1998,393,6685
1998,393,6684
1998,393,6683
1998,393,6682
1998,393,6681
1998,393,6680
1998,392,6679
1998,392,6678
1998,392,6677
1998,392,6676
1998,392,6675
1998,392,6674
1998,392,6673
1998,392,6672
1998,392,6671
1998,391,6670
1998,391,6669
1998,391,6668
1998,391,6667
1998,391,6666
1998,391,6665
1998,391,6664
1998,391,6663
1998,391,6662
1997,390,6661
1997,390,6660
1997,390,6659
1997,390,6658
1997,390,6657
1997,390,6656
1997,390,6655
1997,389,6654
1997,389,6653
1997,389,6652
1997,389,6651
1997,389,6650
1997,389,6649
1997,389,6648
1997,389,6647
1997,389,6646
1997,388,6645
1997,388,6644
1997,388,6643
1997,388,6642
1997,388,6641
1997,388,6640
1997,388,6639
1997,388,6638
1997,388,6637
1997,387,6636
1997,387,6635
1997,387,6634
1997,387,6633
1997,387,6632
1997,387,6631
1997,387,6630
1997,387,6629
1997,387,6628
1997,386,6627
1997,386,6626
1997,386,6625
1997,386,6624
1997,386,6623
1997,386,6622
1997,386,6621
1997,386,6620
1997,385,6619
1997,385,6618
1997,385,6617
1997,385,6616
1997,385,6615
1997,385,6614
1997,385,6613
1997,385,6612
1997,385,6611
1996,384,6610
1996,384,6609
1996,384,6608
1996,384,6607
1996,384,6606
1996,384,6605
1996,384,6604
1996,383,6603
1996,383,6602
1996,383,6601
1996,383,6600
1996,383,6599
1996,383,6598
1996,383,6597
1996,383,6596
1996,383,6595
1996,382,6594
1996,382,6593
1996,382,6592
1996,382,6591
1996,382,6590
1996,382,6589
1996,382,6588
1996,382,6587
1996,382,6586
1996,381,6585
1996,381,6584
1996,381,6583
1996,381,6582
1996,381,6581
1996,381,6580
1996,381,6579
1996,381,6578
1996,381,6577
1996,380,6576
1996,380,6575
1996,380,6574
1996,380,6573
1996,380,6572
1996,380,6571
1996,380,6570
1996,380,6569
1996,379,6568
1996,379,6567
1996,379,6566
1996,379,6565
1996,379,6564
1996,379,6563
1996,379,6562
1996,379,6561
1996,379,6560
1995,378,6559
1995,378,6558
1995,378,6557
1995,378,6556
1995,378,6555
1995,378,6554
1995,378,6553
1995,378,6552
1995,377,6551
1995,377,6550
1995,377,6549
1995,377,6548
1995,377,6547
1995,377,6546
1995,377,6545
1995,377,6544
1995,376,6543
1995,376,6542
1995,376,6541
1995,376,6540
1995,376,6539
1995,376,6538
1995,376,6537
1995,376,6536
1995,376,6535
1995,375,6534
1995,375,6533
1995,375,6532
1995,375,6531
1995,375,6530
1995,375,6529
1995,375,6528
1995,375,6527
1995,375,6526
1995,374,6525
1995,374,6524
1995,374,6523
1995,374,6522
1995,374,6521
1995,374,6520
1995,374,6519
1995,374,6518
1995,374,6517
1995,373,6516
1995,373,6515
1995,373,6514
1995,373,6513
1995,373,6512
1995,373,6511
1995,373,6510
1995,373,6509
1994,372,6508
1994,372,6507
1994,372,6506
1994,372,6505
1994,372,6504
1994,372,6503
1994,372,6502
1994,372,6501
1994,371,6500
1994,371,6499
1994,371,6498
1994,371,6497
1994,371,6496
1994,371,6495
1994,371,6494
1994,371,6493
1994,371,6492
1994,370,6491
1994,370,6490
1994,370,6489
1994,370,6488
1994,370,6487
1994,370,6486
1994,370,6485
1994,370,6484
1994,369,6483
1994,369,6482
1994,369,6481
1994,369,6480
1994,369,6479
1994,369,6478
1994,369,6477
1994,369,6476
1994,369,6475
1994,368,6474
1994,368,6473
1994,368,6472
1994,368,6471
1994,368,6470
1994,368,6469
1994,368,6468
1994,368,6467
1994,368,6466
1994,367,6465
1994,367,6464
1994,367,6463
1994,367,6462
1994,367,6461
1994,367,6460
1994,367,6459
1994,367,6458
1993,366,6457
1993,366,6456
1993,366,6455
1993,366,6454
1993,366,6453
1993,366,6452
1993,366,6451
1993,366,6450
1993,365,6449
1993,365,6448
1993,365,6447
1993,365,6446
1993,365,6445
1993,365,6444
1993,365,6443
1993,365,6442
1993,365,6441
1993,364,6440
1993,364,6439
1993,364,6438
1993,364,6437
1993,364,6436
1993,364,6435
1993,364,6434
1993,364,6433
1993,364,6432
1993,363,6431
1993,363,6430
1993,363,6429
1993,363,6428
1993,363,6427
1993,363,6426
1993,363,6425
1993,363,6424
1993,362,6423
1993,362,6422
1993,362,6421
1993,362,6420
1993,362,6419
1993,362,6418
1993,362,6417
1993,362,6416
1993,362,6415
1993,361,6414
1993,361,6413
1993,361,6412
1993,361,6411
1993,361,6410
1993,361,6409
1993,361,6408
1993,361,6407
1992,360,6406
1992,360,6405
1992,360,6404
1992,360,6403
1992,360,6402
1992,360,6401
1992,360,6400
1992,360,6399
1992,359,6398
1992,359,6397
1992,359,6396
1992,359,6395
1992,359,6394
1992,359,6393
1992,359,6392
1992,359,6391
1992,359,6390
1992,358,6389
1992,358,6388
1992,358,6387
1992,358,6386
1992,358,6385
1992,358,6384
1992,358,6383
1992,358,6382
1992,358,6381
1992,357,6380
1992,357,6379
1992,357,6378
1992,357,6377
1992,357,6376
1992,357,6375
1992,357,6374
1992,357,6373
1992,356,6372
1992,356,6371
1992,356,6370
1992,356,6369
1992,356,6368
1992,356,6367
1992,356,6366
1992,356,6365
1992,356,6364
1992,355,6363
1992,355,6362
1992,355,6361
1992,355,6360
1992,355,6359
1992,355,6358
1992,355,6357
1992,355,6356
1992,355,6355
1991,354,6354
1991,354,6353
1991,354,6352
1991,354,6351
1991,354,6350
1991,354,6349
1991,354,6348
1991,353,6347
1991,353,6346
1991,353,6345
1991,353,6344
1991,353,6343
1991,353,6342
1991,353,6341
1991,353,6340
1991,353,6339
1991,352,6338
1991,352,6337
1991,352,6336
1991,352,6335
1991,352,6334
1991,352,6333
1991,352,6332
1991,352,6331
1991,352,6330
1991,351,6329
1991,351,6328
1991,351,6327
1991,351,6326
1991,351,6325
1991,351,6324
1991,351,6323
1991,351,6322
1991,351,6321
1991,350,6320
1991,350,6319
1991,350,6318
1991,350,6317
1991,350,6316
1991,350,6315
1991,350,6314
1991,350,6313
1991,349,6312
1991,349,6311
1991,349,6310
1991,349,6309
1991,349,6308
1991,349,6307
1991,349,6306
1991,349,6305
1991,349,6304
1990,348,6303
1990,348,6302
1990,348,6301
1990,348,6300
1990,348,6299
1990,348,6298
1990,348,6297
1990,348,6296
1990,347,6295
1990,347,6294
1990,347,6293
1990,347,6292
1990,347,6291
1990,347,6290
1990,347,6289
1990,347,6288
1990,346,6287
1990,346,6286
1990,346,6285
1990,346,6284
1990,346,6283
1990,346,6282
1990,346,6281
1990,346,6280
1990,346,6279
1990,345,6278
1990,345,6277
1990,345,6276
1990,345,6275
1990,345,6274
1990,345,6273
1990,345,6272
1990,345,6271
1990,345,6270
1990,344,6269
1990,344,6268
1990,344,6267
1990,344,6266
1990,344,6265
1990,344,6264
1990,344,6263
1990,344,6262
1990,344,6261
1990,343,6260
1990,343,6259
1990,343,6258
1990,343,6257
1990,343,6256
1990,343,6255
1990,343,6254
1990,343,6253
1989,342,6252
1989,342,6251
1989,342,6250
1989,342,6249
1989,342,6248
1989,342,6247
1989,342,6246
1989,342,6245
1989,341,6244
1989,341,6243
1989,341,6242
1989,341,6241
1989,341,6240
1989,341,6239
1989,341,6238
1989,341,6237
1989,340,6236
1989,340,6235
1989,340,6234
1989,340,6233
1989,340,6232
1989,340,6231
1989,340,6230
1989,340,6229
1989,340,6228
1989,339,6227
1989,339,6226
1989,339,6225
1989,339,6224
1989,339,6223
1989,339,6222
1989,339,6221
1989,339,6220
1989,339,6219
1989,338,6218
1989,338,6217
1989,338,6216
1989,338,6215
1989,338,6214
1989,338,6213
1989,338,6212
1989,338,6211
1989,338,6210
1989,337,6209
1989,337,6208
1989,337,6207
1989,337,6206
1989,337,6205
1989,337,6204
1989,337,6203
1989,337,6202
1988,336,6201
1988,336,6200
1988,336,6199
1988,336,6198
1988,336,6197
1988,336,6196
1988,336,6195
1988,336,6194
1988,335,6193
1988,335,6192
1988,335,6191
1988,335,6190
1988,335,6189
1988,335,6188
1988,335,6187
1988,335,6186
1988,335,6185
1988,334,6184
1988,334,6183
1988,334,6182
1988,334,6181
1988,334,6180
1988,334,6179
1988,334,6178
1988,334,6177
1988,333,6176
1988,333,6175
1988,333,6174
1988,333,6173
1988,333,6172
1988,333,6171
1988,333,6170
1988,333,6169
1988,333,6168
1988,332,6167
1988,332,6166
1988,332,6165
1988,332,6164
1988,332,6163
1988,332,6162
1988,332,6161
1988,332,6160
1988,332,6159
1988,331,6158
1988,331,6157
1988,331,6156
1988,331,6155
1988,331,6154
1988,331,6153
1988,331,6152
1988,331,6151
1987,330,6150
1987,330,6149
1987,330,6148
1987,330,6147
1987,330,6146
1987,330,6145
1987,330,6144
1987,330,6143
1987,329,6142
1987,329,6141
1987,329,6140
1987,329,6139
1987,329,6138
1987,329,6137
1987,329,6136
1987,329,6135
1987,329,6134
1987,328,6133
1987,328,6132
1987,328,6131
1987,328,6130
1987,328,6129
1987,328,6128
1987,328,6127
1987,328,6126
1987,328,6125
1987,327,6124
1987,327,6123
1987,327,6122
1987,327,6121
1987,327,6120
1987,327,6119
1987,327,6118
1987,327,6117
1987,326,6116
1987,326,6115
1987,326,6114
1987,326,6113
1987,326,6112
1987,326,6111
1987,326,6110
1987,326,6109
1987,326,6108
1987,325,6107
1987,325,6106
1987,325,6105
1987,325,6104
1987,325,6103
1987,325,6102
1987,325,6101
1987,325,6100
1987,325,6099
1986,324,6098
1986,324,6097
1986,324,6096
1986,324,6095
1986,324,6094
1986,324,6093
1986,324,6092
1986,323,6091
1986,323,6090
1986,323,6089
1986,323,6088
1986,323,6087
1986,323,6086
1986,323,6085
1986,323,6084
1986,323,6083
1986,322,6082
1986,322,6081
1986,322,6080
1986,322,6079
1986,322,6078
1986,322,6077
1986,322,6076
1986,322,6075
1986,322,6074
1986,321,6073
1986,321,6072
1986,321,6071
1986,321,6070
1986,321,6069
1986,321,6068
1986,321,6067
1986,321,6066
1986,321,6065
1986,320,6064
1986,320,6063
1986,320,6062
1986,320,6061
1986,320,6060
1986,320,6059
1986,320,6058
1986,320,6057
1986,319,6056
1986,319,6055
1986,319,6054
1986,319,6053
1986,319,6052
1986,319,6051
1986,319,6050
1986,319,6049
1986,319,6048
1985,318,6047
1985,318,6046
1985,318,6045
1985,318,6044
1985,318,6043
1985,318,6042
1985,318,6041
1985,317,6040
1985,317,6039
1985,317,6038
1985,317,6037
1985,317,6036
1985,317,6035
1985,317,6034
1985,317,6033
1985,317,6032
1985,316,6031
1985,316,6030
1985,316,6029
1985,316,6028
1985,316,6027
1985,316,6026
1985,316,6025
1985,316,6024
1985,316,6023
1985,315,6022
1985,315,6021
1985,315,6020
1985,315,6019
1985,315,6018
1985,315,6017
1985,315,6016
1985,315,6015
1985,315,6014
1985,314,6013
1985,314,6012
1985,314,6011
1985,314,6010
1985,314,6009
1985,314,6008
1985,314,6007
1985,314,6006
1985,313,6005
1985,313,6004
1985,313,6003
1985,313,6002
1985,313,6001
1985,313,6000
1985,313,5999
1985,313,5998
1985,313,5997
1984,312,5996
1984,312,5995
1984,312,5994
1984,312,5993
1984,312,5992
1984,312,5991
